,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54
ppg_mean,-0.011982392537501682,-0.03898583948544508,-0.0003076419412143568,-0.01976640936951348,-0.6137257232447144,-0.16048268490636644,-0.011037330956838119,-0.014279233817386668,0.17695010446319268,0.08611789803178173,0.021187962621486266,-0.04186856104194535,-0.027905091279442174,-0.05452145531607113,0.00245029434473818,-0.06370136330809963,0.16845973288419533,0.06892421770928714,-0.0006008010175061718,-0.04489823277866834,-0.11527411322369571,0.3783488814964026,0.3009183608896725,-0.008142074942517634,0.1809105232025432,-0.16073049867741232,0.10797383754153458,-0.147400415926735,0.2609439686001781,-0.0018190955143363523,0.18860235879901033,-0.06978806319728774,0.09819484876328409,0.05528190643714824,-0.017414435572016163,0.037971000659823215,-0.07008386513082779,0.06125151760228907,0.05277346955938887,0.047246991707852626,0.005088052881571344,-0.03803438147208356,-0.027125153585985974,0.018678070613695193,-0.014304713746502605,0.018113410008710126,-0.04904063449397166,0.0168534576617296,-0.15017877267591853,-0.0012886232616254286,-0.042510584927892864,-0.02360559328967834,-0.0021279743984943043,0.07035643286811259
ppg_median,-0.045131509829857086,-0.05285475259338701,-0.037672503970282496,-0.0723878389643991,-0.33385409022351165,-0.004759312439963914,-0.2317406680326794,-0.08236528130458506,-0.20553784777956563,-0.18609434673268185,0.5649508768121758,0.04346988206249145,-0.234983923468591,0.1468332077547021,0.278302220144413,0.09302688894453735,0.2560520803551795,-0.19879263709394293,-0.09715657043456861,0.1476534429501141,0.1188048892356091,-0.16198431216892883,-0.2328574786134884,-0.010016624641512251,-0.038489233982979404,0.062127547118744714,0.0465463150919184,-0.0005131289705068987,-0.018300427222063126,0.013334594145795162,-0.03792017118758828,0.01616739003063028,-0.024287500442047763,-0.06499632963582802,-0.022052112339878367,-0.02022006633701217,0.02332058052088376,0.03072649756988454,-0.028803533229160794,-0.015087864575814174,-0.0011036856999919152,0.04617363458070047,0.03155250265442301,0.004610260248382337,0.010576527935938001,-0.013437891378727525,0.0014368939975789377,0.003451355734388383,0.03128657181158834,-0.03641383531520598,-0.003750187415521626,-0.004928852877170632,-0.01638436079427303,-0.026079664657415444
ppg_iqr,0.13712342279595774,0.12322207876611169,-0.1585996499776027,-0.01212687467750603,0.1209534824917966,-0.27783606436697694,-0.14393356471000393,-0.022946583856192124,0.09927975123906993,0.09967547616940214,-0.11143151072171506,-0.10793230347779978,0.016298518426280502,0.009375956796490363,-0.11375969938974263,0.20213621419769817,0.38971689233012674,-0.08823386123439438,0.05168188354151532,-0.05226387675039104,0.024482315444184014,-0.11967285465742153,0.05377106726479636,-0.22696784565730674,0.06668534573983408,0.022932251221258713,0.17908147817120018,-0.18987955823349686,-0.11649317529832379,0.10516425640472614,-0.2028754854243599,0.17608377762747138,0.062185206752777354,-0.10693896394729727,-0.09174941367882408,-0.005029600429198859,0.14167912297394245,0.16357286911906105,-0.07090601179333264,-0.03749507481250958,-0.07822817678886235,-0.32509709602037984,-0.15299126225087983,-0.172413894026488,0.04170987958650152,0.28230641890827624,-0.01363999128916557,-0.003915510105891962,-0.0073991098895300755,0.028197912772087025,0.003002427476637974,0.0069814212040338955,0.018096675487115535,-0.022955996567244313
ppg_skew,0.12943238856367967,0.05229450064724073,-0.009861789990100728,0.060380530958333484,-0.1236708375499044,0.03954781508150443,0.24371018136374253,0.028881808607001604,0.39374245893563203,0.30836418705021795,-0.26032990840374304,0.03112179977582296,-0.1661437220851471,0.17703742463151098,0.32605221273031876,-0.134463347522586,0.14861805085773486,-0.04878974476736753,-0.2633671678863554,0.3826569926486439,0.11347111343543614,0.005785915477340128,-0.06623482570224332,0.1259883897015207,-0.21379801791413955,0.10644579253226207,-0.18802981768738175,-0.03045737697917089,-0.10804481161456218,0.0044395670715343775,-0.11242026265616598,0.03334257499804546,-0.030821947378294065,-0.016136980323701533,0.03629190804938013,-0.029340367426939233,0.01781650674842966,-0.0013715108336095835,0.0022126033689744,0.0037309868378115896,-0.023356335527839864,-0.00565113491384811,0.005607566593577661,-0.016392184617670724,0.015552423550592226,0.0028998205201417743,-0.015557487073315883,0.004729223940645174,-0.006210497103136245,-7.025024973831098e-05,-0.011405062361925823,-0.000932180782110114,0.0016282238767793315,0.0008229527347554666
ppg_diff_mean,-0.015255583236558123,-0.039355410318196754,-9.201125603318372e-05,-0.0076807951440939215,-0.2748261015000569,-0.037184108614812125,0.1216115656698191,0.14542043071547459,-0.296309415061662,-0.42063900657310793,-0.5265822941171587,-0.32456492973685924,-0.01987528631590211,0.42086587768949524,0.12510668670267291,0.111698956767943,-0.0270137574062273,-0.034065304130977136,0.057956531825670836,-0.07210990930275568,-0.055302062456516726,-0.04266180160037386,-0.07746021824154835,-0.013215680489418492,-0.022413997684867334,0.012600906649951043,0.043324906664792336,0.03770088671912627,-0.03458035087910777,-0.017162653533028132,0.0027817816568742326,0.017407901934320624,-0.025177857700104098,-0.017133969743495153,0.00853548652691231,0.0013798253113607925,0.004415969091086325,-0.02155337016849393,0.0016630630499212817,-0.014810208020452832,-0.002567682956352087,-0.03239241240199324,0.007913789568067889,0.0019585498031220866,-0.0008355145078699187,0.014116992400672664,0.021332327696926667,-0.02860916963447796,-0.007678251355259291,-0.002916256433038268,-0.015534060309066886,-0.004026231993215806,0.019678353860971432,-0.0035244018171599056
ppg_zcr,0.17077004311672936,-0.15385539975052925,0.08674957260137511,-0.0010761385133514212,0.011507642851765018,0.010234255624241878,-0.08041985109279326,0.07617975600056566,-0.1054614526218465,-0.009940604828905221,-0.029709155969354237,0.24911796462029728,-0.006898804169768957,0.07494016464122613,0.04744240584793654,0.008320040059691586,0.0015675852239788457,0.18395834353972929,-0.33654548225503805,-0.11581371274340341,-0.27612562284870035,0.17645892348599582,-0.09856156283021376,-0.2268956315704349,0.03276375341256639,-0.023951746159070544,-0.1375643013946268,0.2306074026088259,0.09712640144753272,0.6012767708142528,-0.17092159473381024,0.12133142483476397,-0.04436396213986067,0.041262430290586016,-0.059103223611485,0.009677241239975692,-0.06156076599915742,0.07756455275287324,0.015425587588631023,-0.05140837581623801,0.02592304194826514,0.001462523616049212,0.003999028248027399,-0.05304848435610072,0.019218619145236447,-0.013296152057725039,-0.021923556320128816,-0.0479007510831544,-0.00914526387443712,-0.011406506994706954,-0.00746813034508971,0.001649296336654879,-0.003599097140388864,-0.013340314661573274
ppg_p1,-0.12181457578118167,-0.23425310971326355,0.033616917597629234,-0.03385388911421494,-0.023863609345408626,-0.05081426656349419,0.19263401675792624,0.006430540694231983,0.030640988651185364,0.06822737545986848,-0.07200674810599783,-0.04904093925673704,-0.08285853781081665,-0.10302066090797851,-0.0003727006341668296,-0.07018994600675979,0.05376894202422565,0.02726951611095698,-0.03448441090479835,-0.0075094953302424355,0.10913880319300294,-0.016037260836899492,-0.054881670282863004,-0.1194453217490939,0.11447997130345805,-0.10196520307193857,0.14957466496189967,0.02661424247792359,0.1632370433342627,0.003630409022539735,0.0678721974960223,0.05222803734714204,-0.03881001169575721,-0.1876939897758845,-0.04411977822584817,-0.028709138912551467,0.03989818747322166,0.02585485698408585,-0.022675726239860014,-0.019989887745603424,-0.008020364394581503,0.02639425818805427,0.007217716574181111,-0.009639676814253532,0.14306499407761736,-0.053766492267211585,-0.10804286155815623,0.019720879847614253,0.6677132417191867,-0.31735259200807486,0.25300628445638673,0.14048238448973888,0.16041243842303324,-0.046636804631325385
ppg_p90,0.1409865490849363,0.1697456760067512,-0.15956991234796453,-0.001844591003941274,0.029148067881753698,-0.18983668875206894,-0.20889710284550134,-0.015532155356860526,0.06586571521697798,0.01857248869696576,-0.09577049603753189,-0.1156025485164379,0.0687799258674988,0.026252991519314206,-0.14377962357471413,0.05379975672519094,0.1914702659461115,-0.08730569147545231,-0.020632406393330246,-0.04275482194931007,-0.0067755406106477,0.047121173406914435,0.01724593788784949,0.04240875005554248,-0.028806138421595323,-0.04914439522100923,0.026146939032154717,-0.06844344083645401,-0.09486158070601314,0.05614123836547582,-0.1730654824859553,0.06973759939369037,0.057530535765587656,0.016699790773304222,-0.0027876519431804716,0.05390637741655005,-0.08198270654441725,0.016153674558115706,0.12741786347692352,-0.006896537020995415,0.1257361560663387,0.23592305438154096,0.4934713448762027,0.2180503416386971,-0.12234512095020034,-0.48199493184468234,-0.01707078183286643,0.10696806498324209,0.09565072458213236,-0.09479195260986745,0.06786651692559613,0.001957006632666465,-0.07669642866172285,-0.04948232581597428
ppg_p95,0.12411436149261358,0.18270279870033632,-0.12849889345198484,0.01194015009059525,0.023837583366492596,-0.11646701872680364,-0.3020642020065045,-0.02627016795967635,0.03495730057302404,-0.010067936795223791,-0.07944063257012796,-0.09657064987482135,0.0856766560812991,0.015478228574059089,-0.1298046557429156,-0.09424336915966436,0.011048250931004144,0.026728979972523353,-0.1957031182334721,0.057155354801849315,0.02544780234717726,0.08579135575267738,-0.22785495199709688,0.12780698401387516,0.01826161841867871,0.10120081499078014,-0.0870556424859547,0.2323570707238574,0.18238818007811114,-0.07086018727514984,0.3363335182824786,-0.08266407836570111,-0.07091096400386211,-0.21277343815811037,-0.04027072214267133,0.0065880736311520385,-0.05685625062682209,-0.1170600030153841,0.17697055785332094,0.15906829970972414,-0.009850104414667379,-0.05900091344001958,-0.07804795711854112,-0.020379632233599232,-0.08524278053248169,0.2100978721662182,0.01656799208103795,-0.039393399857431684,0.03394387098669924,-0.1511631788498395,-0.042148920698149184,-0.04539382521296063,-0.06943033589094033,-0.45571366831767957
ppg_p99,0.12029320292851091,0.2384458411351009,0.03919161344452493,0.07382359369405261,-0.017099145797257326,0.016756226647791417,0.04043862950398268,-0.011760836813721162,0.08619375269217044,0.05923559818418134,0.02510221673885087,0.06006786385777994,-0.01787613125202228,0.11344210873478233,0.14344960155495584,0.11212178135378022,-0.012864853986571445,-0.0975145610231368,0.06929406627383126,-0.13987886015869244,-0.07474768241347379,0.08085608011613879,-0.02837860046535382,0.024146866194440522,0.12474258408384246,-0.04988311172024565,0.044547821349292596,-0.003222956966016821,0.015079986191362887,-0.004976324416251506,0.09875976793165642,-0.16633202184840956,0.043398151550619865,0.31485255388929995,0.06869607785599202,-0.02805396735242722,0.021309184197116894,0.0969978878774796,-0.27223398414653943,-0.28051289401966467,0.11376373320051289,0.11888244012894009,-0.023539503552726476,-0.08388667857160574,0.04751350924723288,0.03946267273921327,0.3289205759445918,-0.12841668328387443,0.24526929438225428,0.21656031317212665,0.21000750299913523,0.11776201478476511,-0.2020208892743186,-0.33818897860515795
ppg_p95_p5,0.1352860497022842,0.222060901395031,-0.07517950475381344,0.04691858613545134,0.011622699581795133,-0.09872082136008017,-0.20006749307002733,-0.042953364477944955,0.01940347806145354,-0.00037814876988945256,0.005112506990321897,-0.06024531099258751,0.013813071053132203,0.05837462546857941,-0.0035141882205824287,-0.052709631509671395,0.000828196577033119,0.0084026778206228,-0.06907413416690111,0.0008753132252564133,-0.00533776962722482,0.05370689102749365,-0.09440407607412757,0.06116572722072971,0.01086047864739062,0.01779996078480829,-0.01805516470007612,0.1551110493831364,0.061825685517448825,-0.012815035001142056,0.1407658636362789,-0.02270228686238336,-0.05289038884922387,-0.047707692266976895,0.0006490965335896152,0.0107210652055426,-0.03762671848036057,-0.16337531323433335,0.08996069933066594,-0.006387839348668487,-0.0023570852034532452,0.007764688469860063,-0.013525156180097694,-0.09381795043335814,-0.028036956766195935,0.044569802971764286,0.17941575577940277,-0.06432896689664977,0.20187187070811133,0.32579329985406835,0.16945309187237,0.17278922284263173,0.2709978376724552,0.651404104393367
ppg_trim_mean_10,-0.09012590517540345,-0.19643827568447564,-0.07835437736141418,-0.1090869616568645,-0.16256339092540387,-0.01796542814427081,-0.1930426673513856,0.008177024513497028,-0.09076895000786775,-0.1303449835514517,0.02880889404842299,-0.09090813598477482,0.13344962981890643,-0.10698617075427543,-0.30315935170805763,-0.06300489437731623,0.14296693906419772,0.08752862790611676,-0.08563303087285933,0.09840378241807182,-0.09964722582265428,0.17103205771895108,0.22426562297677094,0.24843204626535886,-0.2815244068373425,0.14304544114602008,-0.3246449893839617,-0.03484104361305532,-0.23769308626886362,-0.048247547730555,-0.18768924956991778,-0.03696179456063603,-0.07785588197964788,0.1598563707693198,0.12650231969886416,-0.06855919044044277,0.037704308477250315,-0.08214045685102872,-0.14400285607766639,-0.11794985280748094,-0.032593352685271776,-0.062107637821322635,-0.14838715434936914,-0.09798777250171906,0.11962369665393664,0.012738236428317411,0.05674279147188354,-0.035572828450310554,0.2149361757980789,-0.024946382705032504,0.09180357644932052,0.051765259814222905,0.03050952562109024,-0.06453802609186893
ppg_crest_factor,-0.1311528824839453,0.1504250255504736,0.20283092284192963,-0.10846007502538492,-0.01730151162936854,0.17927799852236131,-0.03827967567667834,0.04923380101690189,0.06429431714663097,-0.02450369374123218,-0.023078871094132432,-0.03545341512375258,0.043497599185597424,-0.10634087465978176,0.08686748085108702,0.019932535714982928,0.027124025886225922,0.005786536165797301,-0.053853365268757385,-0.12796638479204017,-0.0873382723919679,0.2757537124967146,-0.22819064581110873,-0.12679695279083483,0.30337259801580113,0.19840010792555907,-0.12525718335520136,-0.4082375572105932,-0.2578739229281822,0.006147028977114738,-0.04748368550842508,-0.19455416252478283,-0.2540067302005048,-0.3296709016714273,0.017165174590494277,-0.09485026348431976,0.06710903157713127,-0.08467692701968332,0.01010526823247622,-0.0013684473223625551,-0.0037968250113487763,-0.08050872780730751,0.03839073374215821,0.08543731730987299,-0.007420278879394023,-0.09629448807302678,0.046435296194596735,-0.16663825950046293,-0.01355002715240812,-0.0004680220757785772,0.017010113348368376,-0.009377556297541972,0.04008866715205807,0.0077759072933815815
ppg_clearance_factor,-0.1912149231771491,0.14539310872757907,0.16768097634437443,0.004876799844607966,0.004625825450600857,0.07021906733079722,-0.06340434161804842,0.02758095158365291,0.015189572340792365,-0.062220982339152575,-0.04990461096141581,0.06321245077486487,0.04087669488834943,0.012310215845581174,0.018529365251034165,0.06341714806549764,-0.028743502576007506,-0.1022559308263163,-0.0426471569209666,-0.03684606693543531,-0.03815225244247611,0.10197424689288023,-0.10312203612653467,-0.00016316276874978226,0.0234366746491409,0.15675575154431307,-0.08456478647127944,-0.10341473960236026,0.03677716609840514,-0.0021846090102703945,-0.046921538768033615,-0.051942218111434055,0.09730195699489849,0.17630822446867492,0.09359659738046182,-0.1044472082494195,-0.09524176997522726,0.143021149468225,0.0706491908586575,0.12196098421599956,0.050399724620858635,0.03945376398017345,0.11774054828642845,-0.26700154483947547,-0.16171119336195167,0.26805026105899543,-0.15066144496248118,0.6721716402272867,0.1102891436269767,-0.050252780316796045,0.08111124253167033,0.06169734852128405,-0.0311412386019127,0.06366948909263014
ppg_tke_std,0.10118735726285129,0.23503609974978418,0.06226017977502482,0.10492127887901184,-0.028364893694489367,0.04192583579242872,0.01084220805619085,-0.00443631320866994,-0.008317609428096845,-0.01745234518709654,0.10866252618605726,0.15901696657951245,0.03980628213497178,0.10032535067105694,0.12203015648705075,0.15762708197081385,-0.12747278679605176,-0.045449823304311104,0.1500200236384946,-0.011043021038136133,-0.14864036814625506,0.006288893511010973,0.27523593748955877,0.10279828112133144,-0.08036175420269726,0.06659126077243072,-0.15188937053461335,0.09935216923530285,-0.018818169060918835,-0.035683885030670166,0.11962846064307422,0.03873606607613357,-0.05132872618778028,-0.07014167172584414,0.0415923489371471,0.002626352238024432,0.03686787195261612,0.21123192148951556,-0.019718493050601665,-0.14979951056728477,0.01809981716567354,-0.33448950336845823,0.2836441069620726,-0.05660068274682693,-0.10712401385490197,0.03490895684490131,0.0489288927613932,-0.1354486350730229,0.1127716898365839,-0.4248353221967571,-0.14485785090727882,-0.0952580852863607,0.28945395935339613,0.054434963543130155
ppg_tke_p95_abs,0.10329743116650217,0.2255800206904743,0.044010090308012284,0.10862915029836763,-0.04635846019373918,-0.03598226911768355,-0.0764567840531081,-0.06814269604527634,-0.020617371132446424,-0.03393728954267819,0.11802040957580592,0.04802585958428926,-0.04400270652135986,0.125194092292501,0.24520125903466308,-0.023744242824915524,-0.20752888785545867,0.11365473236524362,0.2111386054336243,-0.00019511667251445597,-0.11333570287223982,0.00943413891019041,0.32452282419313716,-0.04996933636881241,-0.05890477108902398,-0.08339007968462989,-0.01939949027782407,-0.02194039061232074,-0.08726306640399534,0.03327775596540847,-0.14816588704405753,0.14122658129558385,-0.08766457412186864,-0.1838436550699336,0.030773469581352977,-0.010376172207076886,-0.033572107951082675,-0.2866007091919883,0.20926608133907937,0.15865738203460886,-0.16425004875600613,-0.11454328451169843,-0.15428962065687124,-0.03579148979454941,0.0976640351607676,-0.12335311953405168,-0.24692874216569496,0.12359107171868862,0.14546215076267757,0.16584572320165647,0.20937496799115057,0.10411501265590073,-0.17892422746666364,-0.1874516049202432
ppg_dx_p95_abs,0.14282639566707023,0.21975630746785801,-0.031329238079586874,0.025733345183017235,0.05171926799961488,-0.04524232002678545,-0.18517053488684193,-0.01968595044474436,0.06643158869975031,0.02251357599986037,-0.041556357889523096,0.008655853146007753,0.03369797321310289,0.10330936438840123,0.06348418865145196,0.06919621961179756,-0.035188622611302275,-0.038484526124384744,-0.016935851689626157,-0.1235678379760991,-0.005426838796848632,0.011194708110162897,-0.14707169158208633,0.046800550699809,0.059501159565254924,-0.07005673053420369,0.027121451365835908,-0.028278947608518477,0.09261173313017837,-0.036177298891904235,-0.11758381060041141,-0.18396898019393604,0.024694603613906213,0.1973236258045938,0.21664559734588604,-0.054425404120145016,-0.0276918475014251,-0.08571471699176444,-0.20934342953389584,-0.03109645090922772,-0.06387870485460828,0.15990648551661396,-0.40000234206756463,0.13021172572640657,0.2904344456693654,-0.13375239513241832,-0.31744951127066046,0.03254868780692965,-0.016581213361039092,-0.3550833890453494,-0.15861104292468692,-0.096527358248469,0.13316214047709776,0.14672824650698263
