,ppg_infra_n_peaks,ppg_infra_hr_mean,ppg_infra_hr_std,ppg_infra_hr_min,ppg_infra_hr_max,ppg_infra_hr_range,ppg_infra_hr_median,ppg_infra_rmssd,ppg_infra_sdnn,ppg_infra_sdsd,ppg_infra_pnn50,ppg_infra_pnn20,ppg_infra_mean_ibi,ppg_infra_cv_ibi,ppg_infra_hf_power,ppg_infra_total_power,ppg_infra_peak_quality
ppg_infra_n_peaks,0.0,0.5997228553673483,0.4193857033062807,0.5550225252885088,0.6103095506005697,0.4872372009274125,0.5986466588659928,0.19942523360644138,0.23800058437627344,0.1794301190131202,0.07916955608232591,0.20691515922432285,0.588640428046751,0.1298674516353491,0.025484934552741898,0.002320078457980908,0.062129963636798825
ppg_infra_hr_mean,0.5997228553673483,0.0,0.6192555109534147,0.96017400662674,0.971393312816287,0.6392881571750919,0.9897948073150032,0.3697322121965991,0.4338612919527772,0.36069973172031133,0.25748183657140455,0.1897325820550367,0.9477224211148471,0.14497680438286878,0.06914988408890656,0.014942124888927039,0.1867987404529893
ppg_infra_hr_std,0.4193857033062807,0.6192555109534147,0.0,0.44029036509321745,0.7342571449111974,0.893688082873572,0.5993413965362568,0.33830253777637626,0.3555067653376629,0.23845782430010673,0.2195957808909176,0.06277237994337759,0.6144054220060502,0.8395994587957529,0.11273511589500738,0.11478976951287329,0.1465086843575429
ppg_infra_hr_min,0.5550225252885088,0.96017400662674,0.44029036509321745,0.0,0.9013255790989813,0.4366128417703062,0.9459219458902862,0.5073331631357345,0.5836291397304144,0.47375288783282227,0.3418180063329742,0.23112764322035878,0.9157812003845587,0.06329215821301326,0.11509452000928537,0.03995357222006648,0.24251745991702853
ppg_infra_hr_max,0.6103095506005697,0.971393312816287,0.7342571449111974,0.9013255790989813,0.0,0.7828633660306563,0.9477569515034181,0.24484410852224783,0.29286674398079854,0.2556693396912751,0.18245127787820148,0.16421917966961005,0.9310620262417079,0.2905751748303242,0.02019856082130944,0.005730167654557974,0.12441004034118168
ppg_infra_hr_range,0.4872372009274125,0.6392881571750919,0.893688082873572,0.4366128417703062,0.7828633660306563,0.0,0.6107482936726273,0.22145868568718105,0.231048664157987,0.15075005379921325,0.11262746299649241,0.012731046858344681,0.6181490538552734,0.695299052320854,0.12588541214088064,0.07019588836131284,0.10155310820638563
ppg_infra_hr_median,0.5986466588659928,0.9897948073150032,0.5993413965362568,0.9459219458902862,0.9477569515034181,0.6107482936726273,0.0,0.3730757421606295,0.4386111637512219,0.36160320009494196,0.2641559913073251,0.18840548054612233,0.9309261202979887,0.1357064378799344,0.07578923453801158,0.021916492089214347,0.19874821565141476
ppg_infra_rmssd,0.19942523360644138,0.3697322121965991,0.33830253777637626,0.5073331631357345,0.24484410852224783,0.22145868568718105,0.3730757421606295,0.0,0.8822539619095094,0.8859644164094845,0.5925930131060836,0.28218754928123463,0.33901798730477833,0.722245331892578,0.26832187502741145,0.21296342395166973,0.045211477199322885
ppg_infra_sdnn,0.23800058437627344,0.4338612919527772,0.3555067653376629,0.5836291397304144,0.29286674398079854,0.231048664157987,0.4386111637512219,0.8822539619095094,0.0,0.7139098180488076,0.5092682040477619,0.22928653109277833,0.42716518777433965,0.7917254182715657,0.20277201113783982,0.1367456641121434,0.042829620693306335
ppg_infra_sdsd,0.1794301190131202,0.36069973172031133,0.23845782430010673,0.47375288783282227,0.2556693396912751,0.15075005379921325,0.36160320009494196,0.8859644164094845,0.7139098180488076,0.0,0.5677989112842178,0.24554538840230913,0.3164697106511347,0.5682476575060919,0.2777686892215038,0.23993492332888944,0.005591307834039612
ppg_infra_pnn50,0.07916955608232591,0.25748183657140455,0.2195957808909176,0.3418180063329742,0.18245127787820148,0.11262746299649241,0.2641559913073251,0.5925930131060836,0.5092682040477619,0.5677989112842178,0.0,0.5117954102171189,0.1841062205796117,0.4503436675424727,0.06806990824830043,0.11639603912146781,0.07740328377884986
ppg_infra_pnn20,0.20691515922432285,0.1897325820550367,0.06277237994337759,0.23112764322035878,0.16421917966961005,0.012731046858344681,0.18840548054612233,0.28218754928123463,0.22928653109277833,0.24554538840230913,0.5117954102171189,0.0,0.10168585190150786,0.199509845501594,0.06999201884945637,0.06812742631154309,0.09981435871110303
ppg_infra_mean_ibi,0.588640428046751,0.9477224211148471,0.6144054220060502,0.9157812003845587,0.9310620262417079,0.6181490538552734,0.9309261202979887,0.33901798730477833,0.42716518777433965,0.3164697106511347,0.1841062205796117,0.10168585190150786,0.0,0.17107699898298936,0.024659189008751053,0.0025170415041874897,0.2326858648649744
ppg_infra_cv_ibi,0.1298674516353491,0.14497680438286878,0.8395994587957529,0.06329215821301326,0.2905751748303242,0.695299052320854,0.1357064378799344,0.722245331892578,0.7917254182715657,0.5682476575060919,0.4503436675424727,0.199509845501594,0.17107699898298936,0.0,0.20035446156105519,0.15533608945536967,0.08902157807753483
ppg_infra_hf_power,0.025484934552741898,0.06914988408890656,0.11273511589500738,0.11509452000928537,0.02019856082130944,0.12588541214088064,0.07578923453801158,0.26832187502741145,0.20277201113783982,0.2777686892215038,0.06806990824830043,0.06999201884945637,0.024659189008751053,0.20035446156105519,0.0,0.06099472435808813,0.08587876075845866
ppg_infra_total_power,0.002320078457980908,0.014942124888927039,0.11478976951287329,0.03995357222006648,0.005730167654557974,0.07019588836131284,0.021916492089214347,0.21296342395166973,0.1367456641121434,0.23993492332888944,0.11639603912146781,0.06812742631154309,0.0025170415041874897,0.15533608945536967,0.06099472435808813,0.0,0.042842939638881694
ppg_infra_peak_quality,0.062129963636798825,0.1867987404529893,0.1465086843575429,0.24251745991702853,0.12441004034118168,0.10155310820638563,0.19874821565141476,0.045211477199322885,0.042829620693306335,0.005591307834039612,0.07740328377884986,0.09981435871110303,0.2326858648649744,0.08902157807753483,0.08587876075845866,0.042842939638881694,0.0
